original_language,overview,title,budget,revenue,runtime,release_date,popularity,vote_average,vote_count,genres
en,"Disgraced ex-England football captain, Danny 'Mean Machine' Meehan, is thrown in jail for assaulting two police officers. He keeps his head down and has the opportunity to forget everything and change the lives of the prisoners. When these prisoners have the chance to put one over the evil guards during a prison football match, Danny takes the lead.",Mean Machine,2750000,7310206,99,2001-12-26,5.0845,6.232,595,"['Comedy', 'Drama']"
en,"A young woman encounters a malevolent supernatural force while searching for her missing sister in Tokyo, a mean high school prank goes horribly wrong, and strange things begin happening in a Chicago apartment building.",The Grudge 2,20000000,39143839,102,2006-10-12,5.8245,5.551,1074,"['Horror', 'Thriller']"
en,"In this feature film based on the hit animated series, the third graders of South Park sneak into an R-rated film by ultra-vulgar Canadian television personalities Terrance and Phillip, and emerge with expanded vocabularies that leave their parents and teachers scandalized. When outraged Americans try to censor the film, the controversy spirals into a call to wage war on Canada and Terrance and Phillip end up on death row, with the kids their only hope of rescue.","South Park: Bigger, Longer & Uncut",21000000,83137864,81,1999-06-24,4.9839,7.278,2820,"['Animation', 'Comedy']"
en,"When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.","Lyle, Lyle, Crocodile",50000000,104088441,106,2022-10-07,5.8664,7.0,622,"['Comedy', 'Family', 'Music']"
en,"Two warring gang families (one African-American, the other Chinese) maneuver for bragging rights to the Oakland, California, docks. Hang Sing and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead … or worse!",Romeo Must Die,25000000,91036760,115,2000-03-22,6.2797,6.276,1264,"['Action', 'Crime', 'Thriller']"
en,A socially awkward and volatile small business owner meets the love of his life after being threatened by a gang of scammers.,Punch-Drunk Love,25000000,24665649,96,2002-10-11,5.3373,7.1,2549,"['Romance', 'Drama', 'Comedy']"
en,"A US Army officer, who made a ""friendly fire"" mistake that was covered up, has been reassigned to a desk job. He is tasked to investigate a female chopper commander's worthiness to be awarded the Medal of Honor. At first all seems in order. But then he begins to notice inconsistencies between the testimonies of the witnesses...",Courage Under Fire,46000000,100900000,116,1996-07-04,6.2012,6.524,991,"['Drama', 'Thriller', 'Mystery', 'War']"
en,"As the world is overrun by zombies, scientists and military personnel in an underground Florida bunker must decide on how they should deal with the undead.",Day of the Dead,3750000,34000000,101,1985-07-03,5.1771,7.037,1321,"['Horror', 'Drama', 'Mystery']"
en,"When his dysfunctional family clashes over the holidays, young Max is disillusioned and turns his back on Christmas.  Little does he know, this lack of festive spirit has unleashed the wrath of Krampus: a demonic force of ancient evil intent on punishing non-believers.",Krampus,15000000,61800000,98,2015-11-26,5.5376,6.19,2294,"['Horror', 'Comedy', 'Fantasy']"
en,"Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people.",The Eye,12000000,58010320,98,2008-02-01,4.7043,5.897,1104,"['Drama', 'Horror', 'Thriller']"
